Question,Expected Answer
On what basis are the incentive grants disbursed?,"The disbursement shall be done on ‘reimbursement’ basis after submission of necessary documents, invoices, technical reports, etc."
What is the standard timeframe for IFSCA to release the grant?,Within 30 working days from the submission of all required documents.
Who is responsible for monitoring post-disbursement compliance?,The Internal Committee of the IFSCA.
Can a grant be paid in advance?,Only in exceptional cases with the specific approval of the Chairperson.
Are grants paid all at once or in stages?,In multiple tranches based on the achievement of specific milestones.
Is a 'Compliance Officer' required for a grant recipient?,"Yes, to ensure adherence to the scheme's guidelines."
Into which account is the grant money disbursed?,Only into the bank account of the applicant entity.
Who determines if an expense is 'eligible' for reimbursement?,The Internal Committee.
Can the IFSCA audit the recipient of the grant?,"Yes, they may conduct audits through third-party auditors."
What core documents are required for a reimbursement claim?,"Necessary documents, invoices, technical reports,"
Are recipients required to maintain corporate governance standards?,"Yes, as specified by the Authority."
Who makes the final recommendation for the grant sanction?,The Evaluation Committee after evaluating the application.
Can an approved grant be revoked?,"In case of violation of any terms and condition of the grant by the FE, IFSCA shall have right to register encumbrance over Intellectual Property generated by FE during the sandbox period."
Is a technical report mandatory for milestone verification?,Yes.
What is the role of the Internal Committee?,To monitor the end-use of funds and milestone progress.
What is the official title of these 2025 regulations?,"IFSCA (TechFin and Ancillary Services) Regulations, 2025."
How is a 'Principal Officer' defined?,An officer responsible for the overall activities of the entity in the IFSC.
Do Principal and Compliance Officers need to be full-time?,"Yes, they must be dedicated full-time employees."
Where must the Principal Officer be physically based?,They must be based out of the IFSC.
What does the 'Fit and Proper' criteria assess?,"Record of fairness and integrity, including but not
limited to-

(a) financial integrity;
(b) good reputation and character; and
(c) honesty."
Can a person convicted of an economic offense be 'Fit and Proper'?,"No.
If the person has been convicted by a court of law for any offence
involving moral turpitude or any economic offence or any offence,
under the Act or Acts mentioned in the First Schedule of the Act,
in last five (5) years;"
What is the transition period for existing ASPs to re-register?,"an existing Ancillary Service Provider or TechFin entity
is unable to obtain the certificate of registration within the period specified above, on
an application made by the entity, the Chairperson of the Authority may, for reasons
recorded in writing, grant an extension beyond twelve (12) months, but not exceeding
twenty-four (24) months in aggregate;"
Which schedule contains the mandatory 'Code of Conduct'?,The Fourth Schedule.
In what currency should the balance sheet be maintained?,"Every TechFin and Ancillary Service Provider shall maintain its balance sheet
in any of the Specified Foreign Currencies."
Can an entity maintain an INR (Indian Rupee) account?,Only for the purpose of meeting administrative and statutory expenses as may be permitted under the applicable laws.
What does the 'Third Schedule' specify?,The Third Schedule outlines the list of services not permitted to be provided by TechFin and Ancillary Service Provider
Is 'Transport and Logistics' a permitted service?,"No, it is explicitly listed as a prohibited exclusion."
Are 'Real Estate' services allowed under this regulation?,"No, real estate falls under the list of services not permitted"
Who has the final say on 'Materiality' for disqualification?,The Authority (IFSCA).
Can an entity serve clients in FATF-identified high-risk jurisdictions?,"No, providing services to such jurisdictions is prohibited."
Is a Principal Officer required if serving only Group Entities?,"No
In the case of a TechFin and Ancillary Service Provider providing
services exclusively to its Group Entities located in the IFSC, the appointment
of a principal officer is optional subject to the approval of the Authority."
What defines a 'Group Entity' relationship?,"“Group Entities” includes an arrangement involving two or more entities
related to each other through any of the following relationships:
(a) parent- subsidiary (as per Ind-AS 110/AS 21);
(b) joint venture (as per Ind-AS 28/AS 27);
(c) associate (as per Ind-AS 28/AS 23);
(d) common brand name;
(e) investment in equity shares/capital contribution of 20 per cent and above;
or
(f) part of a network;
Explanation.- For the purpose of this clause, ‘network’ shall mean a larger
structure of a group of firms that have come together for mutual benefits by
pooling resources, showcase their combined strength and have uniform
policies, technology and collaterals, and showcase themselves as one big
unit, with one lead firm acting on behalf of the member-firms."
What is the updated definition of 'Ancillary Services'?,"“Ancillary Services” means those services which, directly or indirectly, aid, help or assist in making arrangements for carrying on any of the financial
services listed in sub-clauses (i) to (xi) of clause (e) of sub- section (1) of
section 3 of the Act;"
Does an order from another financial regulator affect 'Fit and Proper' status?,"Yes

Any other order , which has a material bearing on the financial
services market, has been passed against the person by the
Authority or any other regulatory authority, and a period of three
(3) years from the date of the order has not elapsed’;
Explanation. - For the purpose of this sub-clause, the decision to
determine materiality shall be with the Authority;"
How long does an order of restraint cause disqualification?,(3) years from the date of the order has not elapsed
Can a TechFin provider serve a resident of India?,Only for the limited purpose of helping them set up in the IFSC or Overseas.
Is 'Unsound Mind' a ground for disqualification?,"Yes.
The person has been found to be of unsound mind by a court of competent jurisdiction and the finding is in force;"
What is the role of the 'Inspecting Authority'?,"The Authority, may suo motu or upon receipt of information or complaint, appoint one or more persons as Inspecting Authority to, inter-alia, undertake the inspection of books of
accounts, records, documents, infrastructure, procedures and systems of a TechFin and Ancillary Service Provider."
Are registered entities required to file periodic reports?,"Yes, TechFin and Ancillary Service Providers are required to furnish information relating to their operations to the Authority, in such manner, interval and form, as may be specified by the Authority."
What happens to the 2021 circular after the 24-month transition?,"The circular dated February 10, 2021, titled ""Framework for enabling Ancillary services at International Financial Services Centres,"" will stand repealed after twenty-four (24) months from the commencement of these new regulations."
Can an entity be disqualified for being an undischarged insolvent?,"Yes, a person is not considered 'fit and proper' if they have been declared an undischarged insolvent. The TechFin and Ancillary Service Provider must ensure that its principal officer, compliance officer, directors/partners/designated partners, and controlling shareholders are 'fit and proper' persons at all times."
What is the 'Second Schedule' about?,The Second Schedule contains the List of permitted TechFin Services.
Who appoints the Inspecting Authority?,"The Inspecting Authority, which consists of one or more persons, is appointed by the Authority to undertake inspection of a TechFin and Ancillary Service Provider."
Is a 'Fugitive Economic Offender' eligible for registration?,A person is not considered 'fit and proper' if they have been declared a 'fugitive economic offender'. 
Can the Authority revoke registration for violating the Code of Conduct?,"Yes, the Authority may initiate any action it deems fit if a TechFin and Ancillary Service Provider contravenes any of the provisions of these regulations, and the Code of Conduct is a provision specified in the regulations."
On what date was this addendum issued?,"This addendum was issued on 6th April, 2023."
Which specific service was added to assist the Banking business?,The specific service added to assist the banking business is Voice Broking services to entities in IFSCs or from outside India in relation to their business of banking.
Which service was added to assist the Ship Leasing framework?,Ship Broking services were added to assist the Ship Leasing framework.
Does the April 2023 circular change the fee structure?,"Based on the circular, all other provisions specified in the Ancillary Circulars shall remain unchanged. The circular does not mention any changes to the fee structure."
How is a 'Voice Broker' defined in this circular?,"The IFSCA Banking Handbook defines a voice broker as ""an entity that brings together buyers and sellers of a financial assets for the purpose of executing a transaction in such financial Assets""."
Are Ship Broking services limited to any specific framework?,"Yes, Ship Broking services are limited to permitted activities under the ""IFSCA Framework of Ship leasing""."
Where were these new services inserted in the original circular?,The new services were inserted after sub-clause (e) under Clause 3.1 of Annexure-1 of the original Ancillary Circular.
To whom can Voice Broking services be provided?,Voice Broking services can be provided to entities in IFSCs or from outside India in relation to their business of banking.
Does this addendum apply to professional service intermediaries?,"The addendum, in part, applies to Voice Brokers which are described as intermediaries and Ship Brokers which are described as specialist intermediaries."
Does this circular replace the 2021 framework?,"No, this circular is an Addendum to the previous circulars on the ""Framework for enabling Ancillary services at International Financial Services Centres"". It specifically references the circulars issued on February 10, 2021, and June 10, 2021.12

Furthermore, the circular states that all other provisions specified in the Ancillary Circulars shall remain unchanged."
